Quasar	  [Zn/Fe] e_[Zn/Fe] l_[Zn/Fe]  [M/H]tot	e_[M/H]tot    DTM e_DTM l_DTM   A_V  e_A_V
Q0000-263   -0.12  0.06 v   -2.14   0.11     0.59   0.00  u   nan    nan
Q0010-002   -0.25  0.05 v   -1.49   0.13     0.42   0.00  u   nan    nan
Q0013-004    0.75  0.01 v   -0.40   0.10     0.92   0.03  v   0.11   0.03
Q0058-292    0.23  0.03 v   -1.48   0.11     0.51   0.12  v   0.01   0.00
Q0100+130    0.14  0.02 v   -1.62   0.11     0.34   0.15  v   0.01   0.00
Q0102-190a   0.16  0.00	u    nan    nan      0.39   0.14  v   nan    nan
Q0102-190b   1.69  0.00 u    nan    nan      1.03   0.00  v   nan    nan
Q0135-273a   -0.02 0.00	u    nan    nan	     0.68   0.00  u   nan    nan
Q0135-273b   -0.13 0.00 u    nan    nan	     0.58   0.00  u   nan    nan
Q0216+080a   0.25  0.06 v   -1.02   0.13     0.53   0.11  v   0.00   0.00
Q0216+080b   0.33  0.05 v   -0.61   0.15     0.64   0.09  v   0.02   0.01
Q0336-017    0.38  0.00 u    nan    nan	     0.70   0.07  v   nan    nan
Q0347-383    0.63  0.06 v   -1.10   0.18     0.87   0.04  v   0.02   0.01
Q0405-443a   0.02  0.03 v   -1.08   0.12     0.06   0.22  v   0.00   0.01
Q0405-443b   0.15  0.04 v   -1.46   0.18     0.37   0.15  v   0.01   0.01
Q0405-443c   0.26  0.02 v   -1.14   0.12     0.56   0.11  v   0.02   0.01
Q0405-443d   1.57  0.00 u    nan    nan	     1.02   0.00  v   nan    nan
Q0450-131    0.53  0.00 u    nan    nan	     0.82   0.05  v   nan    nan
Q0458-020    0.56  0.05 v   -1.15   0.16     0.83   0.04  v   0.13   0.06
Q0528-250a   0.25  0.04 v   -1.35   0.08     0.54   0.11  v   0.01   0.00
Q0528-250b   0.37  0.01 v   -0.90   0.12     0.69   0.08  v   0.09   0.03
Q0551-366    0.71  0.04 v   -0.25   0.11     0.91   0.03  v   0.11   0.04
Q0841+129b   0.15  0.03 v   -1.61   0.11     0.38   0.15  v   0.00   0.00
Q0841+129c   0.13  0.04 v   -1.65   0.14     0.34   0.16  v   0.00   0.00
Q0913+072    1.51  0.00 u    nan    nan	     1.02   0.00  v   nan    nan 
Q1036-229    0.48  0.00 u    nan    nan	     0.78   0.06  v   nan    nan
Q1108-077a   1.40  0.00 u    nan    nan	     1.02   0.00  v   nan    nan
Q1111-152    0.25  0.09 v   -1.66   0.14     0.54   0.11  v   0.01   0.00
Q1117-134    0.14  0.05 v   -1.46   0.11     0.35   0.15  v   0.00   0.00
Q1157+014    0.31  0.02 v   -1.42   0.11     0.62   0.09  v   0.07   0.03
Q1209+093    0.44  0.03 v   -0.98   0.13     0.75   0.06  v   0.09   0.03
Q1223+178   -0.02  0.03 v   -1.64   0.14     0.68   0.00  u   nan    nan
Q1331+170    0.66  0.03 v   -1.14   0.12     0.89   0.03  v   0.04   0.01
Q1337+113a   1.40  0.00 u    nan    nan      1.02   0.00  v   nan    nan
Q1337+113b   0.57  0.00 u    nan    nan      0.84   0.04  v   nan    nan
Q1340-136    0.55  0.00 u    nan    nan      0.83   0.05  v   nan    nan
Q1409+095a   0.11  0.13 v   -1.70   0.15     0.27   0.17  v   0.00   0.00
Q1409+095b   1.29  0.00 u    nan    nan      1.01   0.01  v   nan    nan
Q1444+014    0.87  0.07 v   -0.63   0.19     0.95   0.02  v   0.02   0.01
Q1451+123a   0.27  0.12 v   -1.00   0.15     0.57   0.10  v   0.01   0.00
Q1451+123b   1.46  0.00 u    nan    nan      1.02   0.00  v   nan    nan
Q1451+123c   1.98  0.00 u    nan    nan      1.03   0.00  v   nan    nan
Q2059-360a   1.07  0.00 u    nan    nan      0.99   0.01  v   nan    nan
Q2059-360b   0.42  0.00 u    nan    nan      0.73   0.07  v   nan    nan
Q2116-358    0.45  0.10 v   -0.27   0.10     0.76   0.06  v   0.02   0.01
Q2138-444a   0.33  0.08 v   -1.07   0.11     0.64   0.09  v   0.01   0.00
Q2138-444b   0.02  0.03 v   -1.86   0.10     0.07   0.21  v   0.00   0.00
Q2152+137b   0.70 0.00 u    nan     nan     0.90   0.03  v   nan    nan
Q2206-199a   0.21  0.02 v   -0.51   0.15     0.47   0.13  v   0.03   0.01
Q2206-199b   0.46  0.00 u    nan     nan     0.77   0.06  v   nan    nan
Q2243-605    0.27  0.02 v   -0.79   0.12     0.56   0.11  v   0.02   0.01
Q2332-094a   0.92  0.03 v   -0.20   0.14     0.97   0.02  v   0.03   0.01
Q2332-094b   0.75  0.00 u    nan    nan      0.92   0.03  v   nan    nan
Q2343+125a   0.38  0.03 v   -0.86   0.10     0.70   0.08  v   0.01   0.00
Q2359-022a   0.76  0.08 v   -0.53   0.18     0.92   0.03  v   0.05   0.03
Q2359-022b   1.43  0.00 u    nan    nan      1.02   0.00  v   nan    nan 
