element, Ax, Axerr, Bx, Bxerr, zx, Wx, ab_IC1613, ab_SextansA
C, -0.1, 0.23, -0.19, 0.06,  0.803, 12.0107, -4.4, -4.81
O, -0.23, 0.05, -0.14, 0.05, 0.598, 15.999, -4.1, -4.51
Mg, -1.00, 0.04, -0.8, 0.02, 0.531, 24.305, -5.24, -5.65
Si, -1.14, 0.06,  -0.57, 0.03, 0.305, 28.0855, -5.25, -5.66 
S, -0.879, 0.28,  -0.091,0.04,  0.290, 32.065, -5.6, -6.01
Ti, -2.05, 0.06, -1.96, 0.03, 0.430, 47.867, -7.67, -7.99
Cr, -1.45,0.06,  -1.51, 0.06, 0.470, 51.9961, -6.95, -7.27
Fe, -1.28, 0.04, -1.51, 0.03, 0.437, 55.845, -5.13, -5.45
Ni, -1.49, 0.06,  -1.83,0.04,  0.599, 58.6934, -6.38, -6.7
Cu, -0.71, 0.09,  -1.10,0.06,  0.711, 63.546, -8.33, -8.65
Zn, -0.61, 0.07, -0.38,0.04,  0.555, 65.38, -7.97, -8.29
