galaxy,Mgas,err_Mgas,Mdust,err_Mdust,Z,err_Z
ESO097-013,6472057882.524854,1237230517.9423025,5360000.0,3549000.0,0.34914031547906965,0.0401962642892792
ESO116-012,2793046091.538495,64718461.13407794,nan,nan,nan,nan
ESO149-001,3378984425.392703,137013697.73696077,1823000.0,516300.0,0.2904022654467177,0.0735543520128477
ESO149-013,541858213.4685283,28610109.22016022,239500.0,766700.0,nan,nan
ESO157-047,479598111.41582996,46615539.927118085,431300.0,1032000.0,0.26791683248214804,0.06970984742384403
ESO157-049,1373869515.6748927,56388954.69193013,5812000.0,6739000.0,0.4688133821459606,0.010794827051255786
ESO209-009,3456079973.3297157,98371107.46598668,16160000.0,1894000.0,nan,nan
ESO240-004,398944438.3221223,nan,1733000.0,1908000.0,0.2666858664523913,0.06447702456359608
ESO289-020,nan,nan,88060.0,385800.0,nan,nan
ESO351-030,266018.2538381531,2461.493193785432,nan,nan,nan,nan
ESO358-006,nan,nan,nan,nan,nan,nan
ESO358-015,147612661.5443313,17305655.391597055,nan,nan,0.5432503314930569,0.11383009047049791
ESO358-016,139590546.2520074,nan,481200.0,1629000.0,nan,nan
ESO358-019,nan,nan,441800.0,499800.0,nan,nan
ESO358-042,nan,nan,nan,nan,nan,nan
ESO358-043,nan,nan,749900.0,2170000.0,nan,nan
ESO358-050,nan,nan,133200.0,1584000.0,nan,nan
ESO358-051,135126992.0,38607712.0,487400.0,108200.0,0.3191537855105092,0.00661390874000492
ESO358-054,492048907.9999999,41790455.200000115,1096000.0,896500.0,0.23388372386622908,0.006462446112821936
ESO358-056,nan,nan,nan,nan,nan,nan
ESO358-059,nan,nan,nan,nan,nan,nan
ESO358-060,616619384.0,18149496.707800258,nan,nan,0.05056985635389869,0.036075054005923944
ESO358-063,1816231029.6784782,228075235.21297076,7753000.0,930000.0,0.8016780633887053,0.1956687875628172
ESO358-066,nan,nan,nan,nan,nan,nan
ESO359-002,nan,nan,nan,nan,nan,nan
ESO373-008,1053219952.1370418,44031674.46959492,5015000.0,646000.0,nan,nan
ESO377-039,nan,nan,3836000.0,5911000.0,nan,nan
ESO405-014,nan,nan,nan,nan,nan,nan
ESO406-031,nan,nan,1009000.0,525400.0,nan,nan
ESO407-002,nan,nan,1576000.0,349500.0,nan,nan
ESO407-018,17579372.194034394,3515874.4388068877,nan,nan,nan,nan
ESO410-005,nan,nan,nan,nan,nan,nan
ESO410-012,614815181.6637821,41353387.277446024,nan,nan,nan,nan
ESO410-018,1618724000.0,255588000.00000086,1168000.0,1668000.0,0.4655860935234704,0.10827721144373706
ESO411-013,320266362.99163216,nan,3088000.0,1892000.0,nan,nan
ESO411-016,325828786.05285543,78034625.23114604,436400.0,1891000.0,0.3971915494698548,0.10243154217775363
ESO411-026,187064850.2571062,nan,nan,nan,nan,nan
ESO411-027,nan,nan,1562000.0,1916000.0,nan,nan
ESO428-014,59955664.96835931,nan,nan,nan,nan,nan
ESO434-040,nan,nan,3652000.0,4963000.0,nan,nan
ESO471-006,223312354.53607497,23833540.34249405,nan,nan,0.07433553133123799,0.02243759798260573
ESO491-020,11379106833.156878,334471623.84672385,nan,nan,nan,nan
ESO491-021,7173485019.499303,748481844.1546654,nan,nan,nan,nan
ESO493-016,3153971622.024,13546077602.760038,23200000.0,4839000.0,nan,nan
ESO495-021,208379568.32722202,7365398.039262314,803700.0,108000.0,0.4841893400189932,0.014493533034690519
ESO549-035,1160902293.3084707,128592254.02801552,1133000.0,2410000.0,0.30690219883940956,0.09893357992769371
ESO560-004,1285025199.7097306,nan,13000000.0,3092000.0,nan,nan
ESO603-031,433423521.10449785,255511726.01100823,6658000.0,5743000.0,0.51522864458234,0.13168571541141236
HS98117,nan,nan,nan,nan,nan,nan
IC0010,76720643.96400921,5956239.947771361,218900.0,127400.0,0.19142559250233565,0.06303064134704167
IC0335,nan,nan,77720.0,835600.0,nan,nan
IC0342,15575156998.34355,nan,23370000.0,3801000.0,0.6223002851701426,0.12036354623993217
IC0610,330945866.48638356,12107775.438142208,6776000.0,867900.0,0.5780960474066172,0.0306156528447883
IC0691,959020331.6586397,44092887.87859205,1188000.0,207000.0,0.35399734108392805,0.0537971940356186
IC0755,925890602.1258233,5321210.246374403,918200.0,257700.0,0.22698648518866438,0.01881560509584145
IC0781,nan,nan,nan,nan,nan,nan
IC0782,nan,nan,nan,nan,nan,nan
IC0783,nan,nan,1341000.0,1466000.0,nan,nan
