# line_index ion wavelength log(fl)
#
 0 FeII 1142.366 0.661
 1 FeII 1143.226 1.342
 2 FeII 1144.938  1.978 
 3 PII  1152.818  2.451
 4 SiII 1190.416  2.541 
 5 SiII 1193.290  2.842
 6 NI   1199.550  2.267	  
7 MgII 1239.925 -0.106
 8 MgII 1240.395 -0.355
 9 SII  1250.578  0.809
10 SII  1253.805  1.113
11 SII  1259.518  1.295
12 OI   1302.168  1.796
13 SiII 1304.370  2.052
14 NiII 1317.217  1.876
15 CII  1334.532  2.234
16 CuII 1358.773  2,569
17 NiII 1370.132  1.906
18 NiII 1454.842  1.672
19 SiII 1526.707  2.307
20 FeII 1608.451  1.968
21 FeII 1611.200  0.347
22 NiII 1709.600  1.743
23 NiII 1741.549  1.871
24 NiII 1751.910  1.686
25 SiII 1808.013  0.575
26 ZnII 2026.136  3.106
27 ZnII 2062.664  2.804
28 CrII 2056.254  2.326
29 CrII 2066.161  2.024
30 FeII 2249.877  0.612
31 FeII 2260.780  0.742
