Element	 w    MW_A MW_e1 MW_2   LMC_A LMC_e1 LMC_e2	SMC_A SMC_e1 SMC_e2
C	12.01 8.46  0.04  0.00  7.94  0.10  0.05	7.52  0.10  0.04
N	14.00 7.90  0.11  0.00  0.00  0.00  0.00	0.00  0.00  0.00
O	16.0  8.76  0.05  0.00  8.50  0.11  0.03	8.14  0.08  0.04
Mg	24.3  7.62  0.02  0.00  7.26  0.08  0.04	6.95  0.06  0.03
Si	28.1  7.61  0.02  0.00  7.35  0.10  0.02	6.86  0.07  0.09
P	30.97 5.54  0.04  0.00  5.10  0.00  0.00 	4.70  0.00  0.00
Cr	52.0  5.72  0.05  0.00  5.37  0.07  0.03	4.99  0.10  0.05
Fe	55.85 7.54  0.03  0.00  7.32  0.08  0.03	6.85  0.08  0.03
Ni	58.7  6.29  0.03  0.00  5.92  0.07  0.03	5.57  0.18  0.07
Zn	65.4  4.70  0.04  0.00  4.31  0.15  0.15	3.91  0.20  0.14
S	32.06 7.26  0.04  0.00  7.13  0.04  0.00	6.47  0.1   0.00
Cu 	63.55 4.34  0.06  0.00  3.79  0.06  0.00	3.73  0.00  0.00
Ti  47.87 5.00  0.03  0.00  4.76  0.07  0.00	4.30  0.08  0.00
Kr	83.80 0.00  0.00  0.00  2.95  0.1   0.00	0.00  0.00  0.00
Ge	72.64 0.00  0.00  0.00  3.35  0.12  0.00	0.00  0.00  0.00
