Galaxy 12+log(O/H) MHI err_MHI MH2 Mgas err_Mgas mean_logNH Mdust err_Mdust
Haro2 8.23 377000000.0 60621599.99999999 1030000000.0 1407000000.0 60621599.99999999 2.0284930184124272e+21 708000.0 0.0
He2-10 8.43 310000000.0 19995000.0 321000000.0 631000000.0 19995000.0 2.829826087391327e+21 631000.0 0.0
IZw18 7.14 100000000.0 16079999.999999998 149000000.0 249000000.0 16079999.999999998 5.103351226568881e+21 562.0 0.0
IC10 8.17 44100000.0 1993319.9999999998 52700000.0 96800000.0 1993319.9999999998 3.0282867720863026e+21 120000.0 0.0
IIZw40 8.23 566000000.0 91012799.99999999 241000000.0 807000000.0 91012799.99999999 4.98930919051005e+22 214000.0 0.0
Mrk1089 7.84 43000000.0 6914399.999999999 29100000.0 72100000.0 6914399.999999999 1.7461969965013683e+20 11200000.0 0.0
Mrk209 7.74 27600000.0 1816080.0 250000000.0 277600000.0 1816080.0 1.8674161375431828e+22 2040.0 0.0
Mrk930 8.03 3190000000.0 352814000.0 657000000.0 3847000000.0 352814000.0 3.835388462182987e+21 5890000.0 0.0
NGC1569 8.02 177000000.0 28461599.999999996 15400000.0 192400000.0 28461599.999999996 9.061274949246622e+20 132000.0 0.0
NGC2366 7.70 293000000.0 19806800.0 501000000.0 794000000.0 19806800.0 2.005349738043258e+20 74100.0 0.0
NGC4214 8.26 376000000.0 60460799.99999999 11600000.0 387600000.0 60460799.99999999 3.209091088059135e+20 741000.0 0.0
NGC4449 8.20 955000000.0 153563999.99999997 250000000.0 1205000000.0 153563999.99999997 5.152818486462491e+20 1410000.0 0.0
NGC4861 7.89 412000000.0 25832400.0 324000000.0 736000000.0 25832400.0 4.143621117490386e+20 200000.0 0.0
NGC5253 8.25 106000000.0 5999600.0 22600000.0 128600000.0 5999600.0 1.133833099426922e+20 240000.0 0.0
NGC625 8.22 110000000.0 19998000.0 37200000.0 147200000.0 19998000.0 5.256146609834327e+20 204000.0 0.0
NGC6822 7.96 104000000.0 10868000.0 10500000.0 114500000.0 10868000.0 7.359319404122657e+20 324000.0 0.0
SBS0335-052 7.25 437000000.0 44879900.0 312000000.0 749000000.0 44879900.0 1.2971632562456138e+21 1950.0 0.0
